Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1022617,4388334,Simeone,Giuliano,ATM,expected,midfielder,6.4
1022617,4388335,Pubill,Marc,ATM,unexpected,defender,5.2
1022617,4388336,Almada,Thiago,ATM,unexpected,midfielder,5.8
1022617,4388337,Alvarez,Julian,ATM,expected,forward,6.8
1022617,4388338,Gimenez,Jose Maria,ATM,unexpected,defender,5.3
1022617,4388339,Gallagher,Conor,ATM,expected,midfielder,5.6
1022617,4388340,Molina,Nahuel,ATM,unexpected,defender,5.6
1022617,4388341,Le Normand,Robin,ATM,expected,defender,5.9
1022617,4388342,Ruggeri,Matteo,ATM,expected,defender,5.5
1022617,4388343,Hancko,David,ATM,possible,defender,5.4
1022617,4388344,Oblak,Jan,ATM,expected,goalkeeper,6.3
1022617,4388345,Baena,Alex,ATM,unexpected,midfielder,5.9
1022617,4388346,Sorloth,Alexander,ATM,possible,forward,6.1
1022617,4388347,Griezmann,Antoine,ATM,expected,midfielder,6.7
1022617,4388393,Silva ,Manu,SLB,unexpected,midfielder,4.9
1022617,4388394,Bah,Alexander,SLB,unexpected,defender,5.4
1022617,4388395,Trubin,Anatoliy,SLB,expected,goalkeeper,6.2
1022617,4388396,Silva,Antonio,SLB,expected,defender,5.5
1022617,4388397,Dahl,Samuel,SLB,expected,defender,5.8
1022617,4388398,Veloso,Joao,SLB,unexpected,midfielder,5.1
1022617,4388399,Obrador,Rafa,SLB,unexpected,defender,5.2
1022617,4388400,Otamendi ,Nicolas,SLB,expected,defender,5.7
1022617,4388401,Barreiro,Leandro,SLB,unexpected,midfielder,6.1
1022617,4388402,Soares,Samuel,SLB,unexpected,goalkeeper,6.1
1022617,4388403,Araujo,Tomas,SLB,unexpected,defender,5.3
1022617,4388404,Schjelderup,Andreas,SLB,possible,midfielder,6.4
1022617,4388405,Prestianni,Gianluca,SLB,unexpected,midfielder,6
1022617,4388406,Pavlidis,Vangelis,SLB,expected,forward,6.9
1022617,4388407,Lukebakio,Dodi,SLB,expected,midfielder,6.5
1022617,4388408,Aursnes,Fredrik,SLB,expected,midfielder,6.3
1022617,4388409,Ivanovic,Franjo,SLB,possible,forward,6.2
1022617,4388410,Bruma,Bruma,SLB,injured,midfielder,5.8
1022617,4388411,Barrenechea,Enzo,SLB,expected,midfielder,5.3
1022617,4388412,Araujo,Henrique,SLB,unexpected,forward,5.9
1022617,4388413,Rios,Richard,SLB,expected,midfielder,5.2
1022617,4388414,Sudakov,Georgiy,SLB,expected,midfielder,6.7
1022617,4388415,Dedic,Amar,SLB,expected,defender,5.6
1022617,4388416,Rego,Joao,SLB,unexpected,midfielder,5.4
1022617,4388417,Santos,Leandro,SLB,unexpected,defender,5.1
1022617,4388418,Prioste,Diogo,SLB,unexpected,midfielder,5
1022617,4388445,Sule,Niklas,BVB,possible,defender,8.1
1022617,4388446,Ostrzinski,Silas,BVB,unexpected,goalkeeper,8.9
1022617,4388447,Kabar,Almugera,BVB,unexpected,defender,7.8
1022617,4388448,Svensson,Daniel,BVB,expected,defender,8.6
1022617,4388449,Beier,Maximilian,BVB,possible,forward,9.8
1022617,4388450,Mane,Filippo,BVB,unexpected,defender,8
1022617,4388451,Brandt,Julian,BVB,possible,midfielder,10
